,model,listing_price,trim,reg_date,mileage,transmission,color,car_body,car_engine,car_page_url
4224,Mazda Mazda6,"£14,350",2.2L SE-L Nav SKYACTIV-D,Aug 2017,"38,944 miles",Automatic,Silver,5 door Estate,2.2L,https://www.cazoo.co.uk/car-details/f3896eac-9aa7-5994-bbfc-aaed279805c4/
4225,Citroen Grand C4 Picasso,"£14,350",1.6L Flair BlueHDi,Sept 2017,"40,852 miles",Manual,Grey,5 door MPV,1.6L,https://www.cazoo.co.uk/car-details/9f7b5739-c5b3-568f-8a8f-e0d6b10d77df/
4226,Vauxhall Grandland X,"£14,350",1.2L SE Turbo,Oct 2018,"8,298 miles",Manual,White,5 door SUV,1.2L,https://www.cazoo.co.uk/car-details/f666eec3-6f5d-5f73-9adf-6eac8a09e668/
4227,Seat Arona,"£14,350",1L SE Technology TSI,Sept 2019,"21,063 miles",Automatic,Black,5 door SUV,1L,https://www.cazoo.co.uk/car-details/98b04f2b-2388-5a82-a8d0-034ce1012f97/
4228,Kia Sportage,"£14,350",1.6L 2 GDi,Jun 2018,"31,857 miles",Manual,Grey,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/2fdc8a9e-400f-5f9a-9477-bc11ef2bbe04/
4229,Hyundai TUCSON,"£14,350",1.6L SE Nav Blue Drive GDi,Apr 2018,"22,656 miles",Manual,Blue,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/812b9a46-ca12-541c-82ed-3433c4ec5113/
4230,BMW 1 Series,"£14,350",1.5L Sport 118i,Sept 2017,"25,917 miles",Manual,Jet Black,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/e8014cfe-0744-5a0f-ac1c-667957b13488/
4231,Nissan Qashqai,"£14,350",1.5L Acenta Premium dCi,Jan 2019,"15,967 miles",Manual,Purple,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/b7d45334-c67a-5d80-93cb-de20f4672905/
4232,Audi A4 Avant,"£14,350",1.4L Sport TFSI,Jan 2017,"42,066 miles",Manual,White,5 door Estate,1.4L,https://www.cazoo.co.uk/car-details/95b8c05b-c69f-54ee-ba16-1bd54dabdab7/
4233,Nissan X-Trail,"£14,350",1.6L n-tec dCi,Aug 2016,"44,212 miles",Automatic,Silver,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/139d508b-1acd-5064-bacb-6cdbba88ff4f/
4234,Honda Civic,"£14,350",1L SR VTEC Turbo,Mar 2019,"46,116 miles",Automatic,Red,5 door Hatchback,1L,https://www.cazoo.co.uk/car-details/d944ee2a-79a3-56d9-910d-12fa34bf18c8/
4235,Volkswagen Golf,"£14,350",2L GTD BlueMotion Tech TDI,Nov 2015,"67,792 miles",Automatic,Blue,5 door Estate,2L,https://www.cazoo.co.uk/car-details/9a3e1e3d-167b-55c8-8e91-063b697b6201/
4236,Ford Fiesta,"£14,350",1L ST-Line Edition EcoBoost T,Aug 2020,"16,137 miles",Manual,Silver,5 door Hatchback,1L,https://www.cazoo.co.uk/car-details/ee40ea0c-67e5-53fc-b3f1-ca27580486d0/
4237,Vauxhall Insignia,"£14,350",2L SRi VX Line Nav BlueInjection Turbo D,Jun 2018,"49,523 miles",Manual,White,5 door Estate,2L,https://www.cazoo.co.uk/car-details/bffb6056-1e4c-5019-960f-f5734a7f99b9/
4238,Nissan Qashqai,"£14,350",1.5L Acenta Premium dCi,Mar 2019,"20,666 miles",Manual,Red,5 door SUV,1.5L,https://www.cazoo.co.uk/car-details/12edc693-7b43-5103-be56-ec7de569b432/
4239,Nissan Micra,"£14,350",1L Tekna IG-T,Mar 2021,"5,547 miles",Manual,White,5 door Hatchback,1L,https://www.cazoo.co.uk/car-details/45989459-4153-5b76-9f14-fd492bed35d5/
4240,Ford Fiesta,"£14,350",1L ST-Line Edition EcoBoost T,Jul 2020,"15,429 miles",Manual,Silver,5 door Hatchback,1L,https://www.cazoo.co.uk/car-details/a0ef2abf-a8f2-5444-9004-275c18c8f178/
4241,Ford Fiesta,"£14,350",1L ST-Line Edition EcoBoost T,Jul 2020,"14,247 miles",Manual,Silver,5 door Hatchback,1L,https://www.cazoo.co.uk/car-details/99bf653f-1e24-5743-8c4a-66afd6b3ecee/
4242,BMW 1 Series,"£14,350",1.5L Sport 118i,Sept 2018,"19,590 miles",Manual,Jet Black,3 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/0ef214bf-4786-5cbc-85cd-cc03165ff0f8/
4243,Mini Hatch,"£14,350",2L Cooper S,Mar 2018,"24,174 miles",Manual,White Silver,3 door Hatchback,2L,https://www.cazoo.co.uk/car-details/694b47d7-bdaf-5902-9366-dda9070d68e9/
4244,Hyundai TUCSON,"£14,350",1.6L SE Nav GDi,Apr 2019,"30,256 miles",Manual,Blue,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/1ebb74e5-7131-5507-ba9c-09edf4b7c888/
4245,Smart fortwo,"£14,350",0.9L BRABUS Xclusive T,Jun 2017,"28,636 miles",Automatic,Black,2 door Coupe,0.9L,https://www.cazoo.co.uk/car-details/07d967f0-7f58-5962-aa0d-d4e8357a63da/
4246,Ford Mondeo,"£14,350",2L Titanium Edition TDCi,Mar 2019,"58,443 miles",Automatic,Silver,5 door Hatchback,2L,https://www.cazoo.co.uk/car-details/60c02a1a-29a6-5dd9-9859-d7fdce9a7daa/
4247,Mini Hatch,"£14,350",1.5L Cooper Classic,Nov 2019,"12,175 miles",Manual,Melting Silver,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/5d68790e-9e66-5324-8a12-8c0c3baae146/
4248,BMW 4 Series,"£14,300",2L SE 420d,Sept 2016,"59,524 miles",Automatic,Alpine White,2 door Coupe,2L,https://www.cazoo.co.uk/car-details/1f6ecd48-6aee-58ab-bd9a-3d982e78f25e/
4249,Peugeot 308,"£14,300",1.5L Allure Premium BlueHDi,Apr 2021,"34,115 miles",Automatic,Black,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/176cf98f-0fc4-5f53-9020-f43cc9af7a7d/
4250,Peugeot 208,"£14,300",1.2L GT Line PureTech,May 2019,"12,883 miles",Automatic,White,5 door Hatchback,1.2L,https://www.cazoo.co.uk/car-details/db97bd8a-735d-5b92-b1ef-f742d0724573/
4251,Abarth 595,"£14,300",1.4L Competizione T-Jet,Sept 2016,"34,000 miles",Manual,Gara White,3 door Hatchback,1.4L,https://www.cazoo.co.uk/car-details/b90f7d0e-fbf6-5a22-9037-263d8fdf2b7b/
4252,Volkswagen Golf,"£14,300",1.4L SE Nav BlueMotion Tech TSI,Sept 2017,"40,553 miles",Manual,Red,5 door Hatchback,1.4L,https://www.cazoo.co.uk/car-details/0eb8316c-0c75-5624-b4c1-c79c064d83fd/
4253,Ford Focus,"£14,300",1L Titanium X EcoBoost T,May 2017,"12,833 miles",Manual,Black,5 door Hatchback,1L,https://www.cazoo.co.uk/car-details/0aae122a-0093-583b-8abf-e83286ad695b/
4254,Honda Civic,"£14,300",1L SR VTEC Turbo,Jan 2018,"32,714 miles",Manual,White,5 door Hatchback,1L,https://www.cazoo.co.uk/car-details/c0ac8a40-bfef-598c-830c-818b076895e0/
4255,Ford Fiesta,"£14,300",1L Trend EcoBoost T,Dec 2020,"8,846 miles",Manual,Blue,5 door Hatchback,1L,https://www.cazoo.co.uk/car-details/96846319-810f-50b1-b70f-768567fb4065/
4256,Ford Fiesta,"£14,300",1L Trend EcoBoost T,Dec 2020,"8,761 miles",Manual,Blue,5 door Hatchback,1L,https://www.cazoo.co.uk/car-details/2334b3a7-33d2-54f0-abfc-a51e3c53c8e8/
4257,Nissan X-Trail,"£14,300",1.6L Tekna dCi,Sept 2015,"52,232 miles",Automatic,Grey,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/082e0baa-d999-5e96-aa71-d668684c0cbd/
4258,BMW 2 Series,"£14,300",2L M Sport 218d,Apr 2017,"54,161 miles",Manual,Black Sapphire metallic paint,2 door Coupe,2L,https://www.cazoo.co.uk/car-details/d3bb1bd3-6324-5228-9f3f-d1d08d85ba29/
4259,Hyundai TUCSON,"£14,300",1.6L SE Nav Blue Drive GDi,Mar 2018,"30,356 miles",Manual,Blue,5 door SUV,1.6L,https://www.cazoo.co.uk/car-details/d61b478e-5ee4-5fb5-8896-707466a16b97/
4260,Volkswagen Scirocco,"£14,300",1.4L GT TSI,Dec 2016,"34,497 miles",Manual,Grey,3 door Hatchback,1.4L,https://www.cazoo.co.uk/car-details/1276ba31-39c5-57c1-9935-611ea91ac956/
4261,Toyota Yaris,"£14,300",1.5L Icon VVT-h,Mar 2019,"40,093 miles",Automatic,Blue,5 door Hatchback,1.5L,https://www.cazoo.co.uk/car-details/d7ff6d73-6dc4-50ec-8e5c-8190f07ce072/
