model,listing_price,trim,mileage,transmission,color,car_body,car_engine,car_make,car_age
GLC Class,31600,2.1L AMG Line GLC220d,36693,Automatic,Black,5 door Coupe,2.1L,Mercedes-Benz,4.0
XC40,31600,1.5L R-Design T3,17220,Automatic,Grey,5 door SUV,1.5L,Volvo,1.0
Discovery Sport,31600,2L Landmark TD4,16630,Automatic,Black,5 door SUV,2L,Land Rover,3.0
Outlander,31500,2.4L Dynamic h TwinMotor,6713,Automatic,White,5 door SUV,2.4L,Mitsubishi,1.0
Golf,31500,2L R TSI,15047,Automatic,White,3 door Hatchback,2L,Volkswagen,3.0
Q5,31500,2L S line TDI,24254,Automatic,Grey,5 door SUV,2L,Audi,3.0
C Class,31500,1.5L AMG Line Edition MHEV C200,141,Automatic,Black,2 door Coupe,1.5L,Mercedes-Benz,1.0
C Class,31500,1.5L AMG Line Edition MHEV C200,3229,Automatic,Blue,2 door Coupe,1.5L,Mercedes-Benz,1.0
F-PACE,31450,2L R-Sport i,21582,Automatic,Red,5 door SUV,2L,Jaguar,4.0
A Class,31400,2L AMG A35,22229,Automatic,White,5 door Hatchback,2L,Mercedes-Benz,3.0
A Class,31400,1.3L AMG Line A250e,33826,Automatic,White,5 door Hatchback,1.3L,Mercedes-Benz,1.0
A6 Avant,31400,3L S line TDI V6,33918,Automatic,Black,5 door Estate,3L,Audi,3.0
S5,31350,3L TFSI V6,29679,Automatic,White,5 door Hatchback,3L,Audi,4.0
Discovery Sport,31300,2L Landmark TD4,23413,Automatic,Grey,5 door SUV,2L,Land Rover,3.0
GLC Class,31300,2.1L AMG Line GLC250d,20635,Automatic,Blue,5 door SUV,2.1L,Mercedes-Benz,4.0
Range Rover Evoque,31150,2L HSE Dynamic TD4,9551,Automatic,Grey,5 door SUV,2L,Land Rover,4.0
GLC Class,31150,2.1L AMG Line GLC220d,25449,Automatic,Silver,5 door SUV,2.1L,Mercedes-Benz,4.0
F-PACE,31150,2L R-Sport d,24315,Automatic,White,5 door SUV,2L,Jaguar,3.0
CLA Class,31150,2L AMG CLA45,29383,Automatic,White,4 door Saloon,2L,Mercedes-Benz,4.0
E Class,31100,2L AMG Line E220d,34610,Automatic,Black,3 door Coupe,1.9L,Mercedes-Benz,3.0
Range Rover Evoque,31100,2L HSE Dynamic TD4,12412,Automatic,Blue,5 door SUV,2L,Land Rover,3.0
X5,31050,3L M Sport 30d,69292,Automatic,White,5 door SUV,3L,BMW,4.0
Q3,31050,1.5L Black Edition CoD TFSI,11638,Manual,White,5 door SUV,1.5L,Audi,1.0
Discovery Sport,31000,2L Landmark TD4,23577,Automatic,Grey,5 door SUV,2L,Land Rover,3.0
S5,31000,3L TFSI V6,19770,Automatic,Red,5 door Hatchback,3L,Audi,4.0
GLC Class,31000,2L AMG Line MHEV GLC300,34949,Automatic,White,5 door SUV,2L,Mercedes-Benz,2.0
GLC Class,30950,2L AMG Line MHEV GLC300,40979,Automatic,White,5 door SUV,2L,Mercedes-Benz,2.0
GLA Class,30950,1.3L Sport GLA200,4445,Automatic,Blue,5 door SUV,1.3L,Mercedes-Benz,1.0
A4,30900,2L Black Edition TFSI,1329,Automatic,Grey,4 door Saloon,2L,Audi,1.0
Tiguan,30900,1.5L Elegance TSI,12609,Automatic,Black,5 door SUV,1.5L,Volkswagen,2.0
GLA Class,30900,1.6L AMG Line Edition GLA200,7982,Automatic,Red,5 door SUV,1.6L,Mercedes-Benz,2.0
Kuga,30850,2.5L ST-Line Edition Duratec h,6452,Automatic,Blue,5 door SUV,2.5L,Ford,1.0
E Class,30800,2L AMG Line E220d,31995,Automatic,White,2 door Coupe,1.9L,Mercedes-Benz,3.0
X3,30800,2L M Sport 20d,37259,Automatic,Silver,5 door SUV,2L,BMW,2.0
5 Series,30800,2L M Sport MHT 520d,18258,Automatic,Black,5 door Saloon,2L,BMW,2.0
C Class,30800,1.5L AMG Line Edition MHEV C200,13773,Automatic,Silver,2 door Coupe,1.5L,Mercedes-Benz,1.0
F-PACE,30750,3L S V6,37033,Automatic,Silver,5 door SUV,3L,Jaguar,6.0
XC40,30750,2L Inscription MHEV B4,6099,Automatic,White,5 door SUV,2L,Volvo,2.0
Tiguan,30700,2L R-Line TDI,11213,Automatic,White,5 door SUV,2L,Volkswagen,3.0
XC40,30700,1.5L R-Design T3,14231,Automatic,Black,5 door SUV,1.5L,Volvo,2.0
X3,30700,2L M Sport 20d,28820,Automatic,Blue,5 door SUV,2L,BMW,3.0
500 Electric,30650,La Prima,2577,Automatic,Grey,2 door Convertible,Electric,Fiat,1.0
F-PACE,30650,2L R-Sport d,28190,Automatic,Red,5 door SUV,2L,Jaguar,3.0
Discovery Sport,30650,2L HSE SD4,19749,Automatic,Grey,5 door SUV,2L,Land Rover,3.0
3008,30650,1.6L GT,13246,Automatic,White,5 door SUV,1.6L,Peugeot,2.0
GLE Class,30600,2.1L AMG Line GLE250d,31061,Automatic,Silver,5 door SUV,2.1L,Mercedes-Benz,4.0
S3,30550,2L Black Edition TFSI,20912,Automatic,White,5 door Hatchback,2L,Audi,3.0
F-PACE,30550,2L R-Sport d,34463,Automatic,Silver,5 door SUV,2L,Jaguar,3.0
E-PACE,30550,2L R-Dynamic SE P300,42516,Automatic,Blue,5 door SUV,2L,Jaguar,4.0
Q5,30550,2L S line TDI,28724,Automatic,Grey,5 door SUV,2L,Audi,3.0
F-PACE,30550,2L R-Sport d,12177,Automatic,Grey,5 door SUV,2L,Jaguar,4.0
F-PACE,30550,2L R-Sport d,31574,Automatic,Grey,5 door SUV,2L,Jaguar,3.0
Golf,30500,2L R TSI,10456,Automatic,White,5 door Hatchback,2L,Volkswagen,3.0
XC40,30500,1.5L R-Design T3,16705,Automatic,Blue,5 door SUV,1.5L,Volvo,2.0
1 Series,30500,1.5L M Sport 118i,3848,Automatic,Black,5 door Hatchback,1.5L,BMW,0.5
F-PACE,30500,2L R-Sport d,34607,Automatic,Blue,5 door SUV,2L,Jaguar,4.0
Discovery Sport,30500,2L Landmark TD4,21715,Automatic,White,5 door SUV,2L,Land Rover,3.0
3 Series,30450,2L M Sport 330e,34837,Automatic,Grey,4 door Saloon,2L,BMW,3.0
XC60,30450,2L R-Design T5,22995,Automatic,Grey,5 door SUV,2L,Volvo,3.0
GLC Class,30450,2L AMG Line GLC220d,32237,Automatic,White,5 door SUV,1.9L,Mercedes-Benz,3.0
TUCSON,30400,1.6L Premium h T-GDi,16607,Automatic,White,5 door SUV,1.6L,Hyundai,1.0
3 Series,30400,2L M Sport 330e,33883,Automatic,Blue,4 door Saloon,2L,BMW,3.0
S5,30400,3L TFSI V6,43908,Automatic,Grey,5 door Hatchback,3L,Audi,4.0
F-PACE,30400,2L Portfolio i,43691,Automatic,Silver,5 door SUV,2L,Jaguar,3.0
A4 Avant,30350,2L Black Edition TDI,25630,Automatic,Grey,5 door Estate,2L,Audi,2.0
F-PACE,30350,2L R-Sport d,27221,Automatic,Blue,5 door SUV,2L,Jaguar,3.0
XC60,30350,2L Inscription Pro T5,40300,Automatic,Black,5 door SUV,2L,Volvo,4.0
Discovery Sport,30350,2L Landmark TD4,25565,Automatic,Black,5 door SUV,2L,Land Rover,3.0
3 Series,30300,2L M Sport 320i,9051,Automatic,Grey,4 door Saloon,2L,BMW,2.0
Tiguan,30250,1.5L R-Line Tech TSI EVO,8730,Automatic,White,5 door SUV,1.5L,Volkswagen,2.0
GLE Class,30250,2.1L AMG Line GLE250d,21347,Automatic,Grey,5 door SUV,2.1L,Mercedes-Benz,5.0
E Class,30250,2L AMG Line E220d,32451,Automatic,Grey,5 door Estate,1.9L,Mercedes-Benz,3.0
Q5,30250,2L S line TDI,15346,Automatic,Black,5 door SUV,2L,Audi,3.0
F-PACE,30200,2L R-Sport d,35894,Automatic,White,5 door SUV,2L,Jaguar,3.0
500 Electric,30200,La Prima,5059,Automatic,Green,2 door Convertible,Electric,Fiat,1.0
GLE Class,30200,3L designo Line GLE350d V6,61843,Automatic,Grey,5 door SUV,3L,Mercedes-Benz,5.0
X3,30200,2L M Sport 20d,27534,Automatic,Black,5 door SUV,2L,BMW,3.0
X3,30150,2L M Sport 20d,25972,Automatic,Silver,5 door SUV,2L,BMW,4.0
Discovery Sport,30150,2L Landmark TD4,29831,Automatic,Black,5 door SUV,2L,Land Rover,3.0
X1,30150,2L Sport 20i,9895,Automatic,White,5 door SUV,2L,BMW,1.0
Q5,30100,2L S line TDI,39622,Automatic,Black,5 door SUV,2L,Audi,3.0
Discovery Sport,30100,2L Landmark TD4,32881,Automatic,Black,5 door SUV,2L,Land Rover,3.0
Golf,30100,2L R BlueMotion Tech TSI,13863,Automatic,White,5 door Hatchback,2L,Volkswagen,5.0
C Class,30100,1.5L AMG Line Edition MHEV C200,9967,Automatic,Black,2 door Coupe,1.5L,Mercedes-Benz,1.0
208,30050,GT,4744,Automatic,White,5 door Hatchback,Electric,Peugeot,0.5
X3,30050,2L M Sport 20d,22532,Automatic,Black,5 door SUV,2L,BMW,3.0
X1,30000,2L xLine 20i,3106,Automatic,Orange,5 door SUV,2L,BMW,2.0
Q5,30000,2L S line TFSI,20428,Automatic,Black,5 door SUV,2L,Audi,4.0
X3,30000,2L M Sport 20d,20142,Automatic,Silver,5 door SUV,2L,BMW,3.0
4 Series,29950,2L M Sport 420d,1181,Automatic,Grey,2 door Convertible,2L,BMW,2.0
TT,29950,2L S line TFSI,11983,Automatic,White,2 door Convertible,2L,Audi,3.0
500 Electric,29950,La Prima,3282,Automatic,Green,2 door Convertible,Electric,Fiat,1.0
Discovery Sport,29950,2L Landmark TD4,25474,Automatic,Black,5 door SUV,2L,Land Rover,3.0
XC40,29950,1.5L Inscription T3,10237,Automatic,Black,5 door SUV,1.5L,Volvo,2.0
3 Series,29950,2L M Sport 320i,11003,Automatic,Grey,4 door Saloon,2L,BMW,2.0
3 Series,29950,2L M Sport 320i,14834,Automatic,Black,4 door Saloon,2L,BMW,2.0
Golf,29900,2L R TSI,27330,Automatic,Grey,5 door Hatchback,2L,Volkswagen,2.0
Q7,29900,3L S line TDI V6,51922,Automatic,Grey,5 door SUV,3L,Audi,6.0
3008,29900,1.6L GT,19471,Automatic,Red,5 door SUV,1.6L,Peugeot,2.0
F-PACE,29850,2L R-Sport d,26997,Automatic,White,5 door SUV,2L,Jaguar,3.0
500 Electric,29800,La Prima,1868,Automatic,Grey,2 door Convertible,Electric,Fiat,1.0
3 Series,29800,2L M Sport 320i,13955,Automatic,Grey,4 door Saloon,2L,BMW,2.0
3 Series,29750,2L M Sport 320i,6292,Automatic,White,4 door Saloon,2L,BMW,2.0
X-Trail,29750,1.3L Tekna DIG-T,11511,Automatic,Black,5 door SUV,1.3L,Nissan,1.0
500 Electric,29750,La Prima,4092,Automatic,Grey,2 door Convertible,Electric,Fiat,1.0
X3,29750,2L M Sport 20d,37473,Automatic,Blue,5 door SUV,2L,BMW,3.0
XC60,29750,2L R-Design T5,23211,Automatic,Black,5 door SUV,2L,Volvo,3.0
X3,29750,3L M Sport 30d,49843,Automatic,Blue,5 door SUV,3L,BMW,3.0
F-PACE,29750,2L R-Sport d,23867,Automatic,Blue,5 door SUV,2L,Jaguar,3.0
Q5,29750,2L S line TDI,19172,Automatic,Silver,5 door SUV,2L,Audi,3.0
5008,29700,1.2L GT Line Premium PureTech,17708,Automatic,Grey,5 door SUV,1.2L,Peugeot,2.0
Edge,29700,2L ST-Line EcoBlue,10219,Automatic,Blue,5 door SUV,2L,Ford,3.0
F-PACE,29700,2L R-Sport d,28442,Automatic,Blue,5 door SUV,2L,Jaguar,3.0
X3,29700,2L xLine 20d,17616,Automatic,Grey,5 door SUV,2L,BMW,3.0
V90,29650,2L Inscription Plus D4,17749,Automatic,Grey,5 door Estate,2L,Volvo,2.0
F-PACE,29650,2L R-Sport d,31569,Automatic,White,5 door SUV,2L,Jaguar,3.0
A Class,29650,2L AMG A35,32235,Automatic,Grey,5 door Hatchback,2L,Mercedes-Benz,3.0
500 Electric,29650,La Prima,2395,Automatic,Grey,2 door Convertible,Electric,Fiat,1.0
X3,29600,2L M Sport 20d,30089,Automatic,Black,5 door SUV,2L,BMW,4.0
Range Rover Evoque,29600,2L HSE Dynamic TD4,18839,Automatic,White,5 door SUV,2L,Land Rover,4.0
Countryman,29600,1.5L Cooper Exclusive,3679,Automatic,Red,5 door SUV,1.5L,Mini,1.0
S5,29600,3L TFSI V6,24870,Automatic,Grey,5 door Hatchback,3L,Audi,4.0
NX 300h,29550,2.5L NX,30056,Automatic,Grey,5 door SUV,2.5L,Lexus,3.0
S3,29550,2L Black Edition TFSI,31286,Automatic,Red,5 door Hatchback,2L,Audi,3.0
Tiguan,29550,2L R-Line TDI,14644,Automatic,Black,5 door SUV,2L,Volkswagen,3.0
GLC Class,29500,2.1L Sport GLC220d,25533,Automatic,Silver,5 door SUV,2.1L,Mercedes-Benz,4.0
S3,29500,2L Black Edition TFSI,24493,Automatic,White,5 door Hatchback,2L,Audi,3.0
X3,29500,2L M Sport 20d,33899,Automatic,Silver,5 door SUV,2L,BMW,4.0
Q2,29500,1.5L Black Edition TFSI CoD,13663,Automatic,Grey,5 door SUV,1.5L,Audi,1.0
E-PACE,29500,2L R-Dynamic HSE P200,21705,Automatic,Red,5 door SUV,2L,Jaguar,3.0
GLC Class,29450,2.1L Sport GLC250d,39244,Automatic,White,5 door SUV,2.1L,Mercedes-Benz,3.0
3 Series,29400,3L Sport 330d,26792,Automatic,Red,4 door Saloon,3L,BMW,3.0
A6 Avant,29400,2L S line TDI,32398,Automatic,White,5 door Estate,2L,Audi,3.0
F-PACE,29400,2L R-Sport d,20444,Automatic,White,5 door SUV,2L,Jaguar,3.0
GLC Class,29350,2.1L AMG Line GLC220d,16131,Automatic,Black,5 door SUV,2.1L,Mercedes-Benz,5.0
Discovery Sport,29350,2L Landmark TD4,31219,Automatic,Black,5 door SUV,2L,Land Rover,3.0
Q5,29350,2L S line TDI,26183,Automatic,Grey,5 door SUV,2L,Audi,3.0
Countryman,29350,1.5L Cooper SE Exclusive,15174,Automatic,Grey,5 door SUV,1.5L,Mini,3.0
Tiguan,29300,2L R-Line TDI,30398,Automatic,Black,5 door SUV,2L,Volkswagen,3.0
3 Series,29250,2L M Sport 330i,26758,Automatic,Blue,4 door Saloon,2L,BMW,3.0
Discovery Sport,29250,2L Landmark TD4,29037,Automatic,Black,5 door SUV,2L,Land Rover,3.0
1 Series,29200,1.5L M Sport 118i,3607,Manual,White,5 door Hatchback,1.5L,BMW,0.5
Range Rover Evoque,29200,2L Landmark TD4,18407,Automatic,Black,5 door SUV,2L,Land Rover,4.0
F-PACE,29200,2L R-Sport d,35299,Automatic,White,5 door SUV,2L,Jaguar,3.0
X1,29200,2L xLine 20i,13244,Automatic,Blue,5 door SUV,2L,BMW,1.0
i3,29150,No Trim Specified,5569,Automatic,Black,5 door Hatchback,Electric,BMW,1.0
A4 Avant,29100,2L Black Edition TFSI,29275,Automatic,Grey,5 door Estate,2L,Audi,4.0
3 Series,29100,2L M Sport 320i,12658,Automatic,White,4 door Saloon,2L,BMW,2.0
Discovery Sport,29100,2L HSE SD4,15671,Automatic,White,5 door SUV,2L,Land Rover,4.0
Discovery Sport,29100,2L HSE Black TD4,20998,Automatic,White,5 door SUV,2L,Land Rover,4.0
Clubman,29100,2L John Cooper Works,16798,Automatic,Black,5 door Estate,2L,Mini,2.0
TT,29100,2L S line TFSI,11956,Automatic,Grey,2 door Convertible,2L,Audi,3.0
Range Rover Evoque,29050,2L HSE Dynamic TD4,30715,Automatic,White,5 door SUV,2L,Land Rover,4.0
X1,29050,1.5L M Sport 18i,9733,Automatic,Blue,5 door SUV,1.5L,BMW,2.0
5 Series,29050,3L M Sport 535i,21924,Automatic,Black,5 door Estate,3L,BMW,6.0
4 Series,29050,2L M Sport 430i,5937,Automatic,White,2 door Convertible,2L,BMW,3.0
X3,29050,2L M Sport 20d,24452,Automatic,White,5 door SUV,2L,BMW,4.0
Focus,29000,2.3L RS EcoBoost T,18651,Manual,Grey,5 door Hatchback,2.3L,Ford,6.0
F-PACE,29000,2L R-Sport d,41948,Automatic,Grey,5 door SUV,2L,Jaguar,3.0
E Class,29000,2L AMG Line E220d,40332,Automatic,Black,2 door Coupe,1.9L,Mercedes-Benz,4.0
F-PACE,29000,2L R-Sport d,39164,Automatic,Black,5 door SUV,2L,Jaguar,3.0
500 Electric,29000,La Prima,4329,Automatic,Grey,2 door Convertible,Electric,Fiat,1.0
XF,28950,2L Portfolio i,9688,Automatic,Black,5 door Estate,2L,Jaguar,2.0
3 Series,28950,2L M Sport 330i,37036,Automatic,Blue,4 door Saloon,2L,BMW,3.0
C Class,28950,2L AMG Line C220d,24340,Automatic,White,2 door Convertible,1.9L,Mercedes-Benz,3.0
Golf,28950,2L R TSI,17077,Automatic,Grey,5 door Hatchback,2L,Volkswagen,3.0
5008,28900,2L GT BlueHDi,21504,Automatic,Blue,5 door SUV,2L,Peugeot,3.0
500 Electric,28900,La Prima,6563,Automatic,Grey,2 door Convertible,Electric,Fiat,1.0
TUCSON,28900,1.6L SE Connect h T-GDi,2247,Automatic,Black,5 door SUV,1.6L,Hyundai,1.0
TUCSON,28850,1.6L SE Connect h T-GDi,5303,Automatic,Silver,5 door SUV,1.6L,Hyundai,1.0
Kuga,28800,1.5L ST-Line X Edition EcoBoost T,14592,Manual,Red,5 door SUV,1.5L,Ford,1.0
E Class,28800,2L SE E220d,23553,Automatic,Black,4 door Saloon,1.9L,Mercedes-Benz,4.0
Q2,28800,1.5L Black Edition CoD TFSI,13492,Automatic,Blue,5 door SUV,1.5L,Audi,2.0
Edge,28800,2L ST-Line EcoBlue,5990,Automatic,White,5 door SUV,2L,Ford,3.0
Range Rover Evoque,28750,2L R-Dynamic D150,25795,Manual,Black,5 door SUV,2L,Land Rover,2.0
GLC Class,28750,2.1L AMG Night Edition GLC220d,52852,Automatic,Grey,5 door SUV,2.1L,Mercedes-Benz,3.0
Range Rover Evoque,28750,2L HSE Dynamic TD4,13232,Automatic,Silver,5 door SUV,2L,Land Rover,4.0
GLC Class,28750,2.1L AMG Night Edition GLC220d,50080,Automatic,Grey,5 door SUV,2.1L,Mercedes-Benz,3.0
XC40,28750,1.5L R-Design T3,9631,Manual,Black,5 door SUV,1.5L,Volvo,2.0
5 Series,28750,2L M Sport 530i,21229,Automatic,White,5 door Estate,2L,BMW,4.0
Discovery Sport,28750,2L HSE Dynamic Lux TD4,32427,Automatic,White,5 door SUV,2L,Land Rover,5.0
E Class,28750,2L AMG Line E300e,33845,Automatic,Blue,4 door Saloon,2L,Mercedes-Benz,3.0
Q5,28700,2L Sport TDI,30394,Automatic,Blue,5 door SUV,2L,Audi,3.0
X2,28700,2L M Sport 20i,16936,Automatic,Grey,5 door SUV,2L,BMW,2.0
Q5,28700,2L S line TFSI,18748,Automatic,Black,5 door SUV,2L,Audi,4.0
Range Rover Evoque,28650,2L HSE Dynamic TD4,33101,Automatic,Black,5 door SUV,2L,Land Rover,4.0
Tiguan,28650,1.5L R-Line TSI EVO,13593,Automatic,White,5 door SUV,1.5L,Volkswagen,3.0
500 Electric,28650,La Prima,8267,Automatic,Green,2 door Convertible,Electric,Fiat,1.0
Q7,28650,3L S line TDI V6,36178,Automatic,White,5 door SUV,3L,Audi,6.0
Discovery Sport,28600,2L Landmark TD4,48657,Automatic,Black,5 door SUV,2L,Land Rover,3.0
A4 Avant,28600,2L Black Edition TFSI,9598,Automatic,White,5 door Estate,2L,Audi,3.0
500 Electric,28600,La Prima,8124,Automatic,Grey,2 door Convertible,Electric,Fiat,1.0
5008,28600,1.2L GT Line Premium PureTech,13606,Automatic,Green,5 door SUV,1.2L,Peugeot,2.0
3 Series,28600,2L M Sport 320d,32337,Automatic,Grey,4 door Saloon,2L,BMW,3.0
5 Series,28600,3L M Sport 540i,45914,Automatic,Grey,5 door Estate,3L,BMW,4.0
Q5,28600,2L Sport TDI,25177,Automatic,Black,5 door SUV,2L,Audi,2.0
A6 Avant,28600,2L S line TDI,22768,Automatic,Grey,5 door Estate,2L,Audi,3.0
Golf,28550,2L R TSI,25691,Automatic,Blue,5 door Hatchback,2L,Volkswagen,3.0
Range Rover Evoque,28550,2L HSE Dynamic SD4,41963,Automatic,Silver,5 door SUV,2L,Land Rover,4.0
A4 Avant,28550,2L Black Edition TDI,6544,Automatic,Grey,5 door Estate,2L,Audi,4.0
S3,28550,2L TFSI,28122,Automatic,Black,5 door Hatchback,2L,Audi,3.0
XC40,28550,1.5L Momentum T3,6762,Automatic,Black,5 door SUV,1.5L,Volvo,2.0
S5,28550,3L TFSI V6,21005,Automatic,Black,2 door Coupe,3L,Audi,5.0
3 Series,28550,2L M Sport 320i,8947,Automatic,White,4 door Saloon,2L,BMW,2.0
Golf,28500,2L R TSI,25605,Automatic,White,5 door Hatchback,2L,Volkswagen,3.0
S5,28500,3L TFSI V6,57630,Automatic,Black,5 door Hatchback,3L,Audi,4.0
S3,28500,2L Black Edition TFSI,20556,Automatic,White,5 door Hatchback,2L,Audi,3.0
500 Electric,28500,La Prima,6526,Automatic,Green,2 door Convertible,Electric,Fiat,1.0
E Class,28500,2L AMG Line Night Edition E200,6021,Automatic,Black,5 door Estate,2L,Mercedes-Benz,3.0
XC60,28500,2L R-Design D4,21435,Automatic,Black,5 door SUV,2L,Volvo,3.0
XF,28450,2L Portfolio i,13175,Automatic,White,5 door Estate,2L,Jaguar,2.0
Focus,28450,2.3L RS EcoBoost T,20437,Manual,Blue,5 door Hatchback,2.3L,Ford,6.0
GLC Class,28450,2.1L AMG Line GLC220d,25278,Automatic,Grey,5 door SUV,2.1L,Mercedes-Benz,4.0
F-PACE,28450,2L R-Sport d,38723,Automatic,Black,5 door SUV,2L,Jaguar,3.0
X3,28450,2L M Sport 20d,29784,Automatic,White,5 door SUV,2L,BMW,4.0
Range Rover Evoque,28450,2L Autobiography SD4,20194,Automatic,Blue,5 door SUV,2L,Land Rover,5.0
Niro,28400,First Edition,57299,Automatic,Grey,5 door SUV,Electric,Kia,3.0
A3,28400,1.5L S line TFSI,7924,Manual,Grey,5 door Hatchback,1.5L,Audi,2.0
A Class,28400,1.5L AMG Line A180d,10320,Automatic,Black,5 door Hatchback,1.5L,Mercedes-Benz,2.0
Discovery Sport,28400,2L HSE TD4,28504,Automatic,Black,5 door SUV,2L,Land Rover,4.0
X3,28400,2L M Sport 20d,46676,Automatic,Black,5 door SUV,2L,BMW,3.0
F-PACE,28400,2L Portfolio d,40418,Automatic,Red,5 door SUV,2L,Jaguar,3.0
F-PACE,28400,2L R-Sport d,31353,Automatic,White,5 door SUV,2L,Jaguar,3.0
3 Series,28400,2L M Sport 320i,19155,Automatic,Grey,4 door Saloon,2L,BMW,2.0
RAV4,28350,2.5L Design VVT-h,25043,Automatic,Black,5 door SUV,2.5L,Toyota,3.0
5008,28350,1.2L GT Line Premium PureTech,20707,Automatic,Black,5 door SUV,1.2L,Peugeot,3.0
Tiguan,28350,2L R-Line TDI,25818,Automatic,White,5 door SUV,2L,Volkswagen,3.0
GLC Class,28350,2.1L Sport GLC220d,25545,Automatic,Blue,5 door SUV,2.1L,Mercedes-Benz,4.0
Q5,28350,2L S line TDI,35479,Automatic,Grey,5 door SUV,2L,Audi,3.0
T-Roc,28300,1.5L R-Line TSI EVO,20213,Automatic,Black,5 door SUV,1.5L,Volkswagen,1.0
Golf,28300,2L R TSI,18805,Automatic,Grey,5 door Hatchback,2L,Volkswagen,4.0
C Class,28300,2L AMG Line C300,6133,Automatic,Red,4 door Saloon,2L,Mercedes-Benz,3.0
GLC Class,28250,2.1L Sport GLC220d,23425,Automatic,Black,5 door SUV,2.1L,Mercedes-Benz,4.0
E Class,28250,2L AMG Line E220d,19569,Automatic,Grey,4 door Saloon,1.9L,Mercedes-Benz,3.0
Range Rover Evoque,28250,2L HSE Dynamic TD4,28954,Automatic,Grey,5 door SUV,2L,Land Rover,4.0
Q5,28250,2L Sport TDI,26711,Automatic,Blue,5 door SUV,2L,Audi,4.0
Q5,28250,2L S line TDI,30311,Automatic,Grey,5 door SUV,2L,Audi,4.0
500 Electric,28250,La Prima,8859,Automatic,Green,2 door Convertible,Electric,Fiat,1.0
A5,28200,2L S line TFSI,12771,Automatic,Black,5 door Hatchback,2L,Audi,4.0
S3,28200,2L Black Edition TFSI,31897,Automatic,Black,4 door Saloon,2L,Audi,4.0
i3,28200,S,2283,Automatic,Black,5 door Hatchback,Electric,BMW,3.0
3 Series,28150,2L M Sport 320d,20614,Automatic,Grey,4 door Saloon,2L,BMW,3.0
Discovery Sport,28100,2L Landmark TD4,38479,Automatic,Grey,5 door SUV,2L,Land Rover,4.0
F-PACE,28100,2L Prestige d,38928,Automatic,Silver,5 door SUV,2L,Jaguar,3.0
Countryman,28100,1.5L Cooper SE Exclusive,15778,Automatic,Grey,5 door SUV,1.5L,Mini,3.0
5 Series,28050,2L M Sport 530e,21766,Automatic,Grey,4 door Saloon,2L,BMW,4.0
5 Series,28050,2L M Sport 530e,19349,Automatic,Blue,4 door Saloon,2L,BMW,4.0
500 Electric,28050,La Prima,10203,Automatic,Grey,2 door Convertible,Electric,Fiat,1.0
C Class,28000,2L AMG Line C300,18932,Automatic,Silver,2 door Coupe,2L,Mercedes-Benz,3.0
Golf,28000,2L R TSI,24828,Automatic,Other,5 door Hatchback,2L,Volkswagen,4.0
Tiguan,28000,2L SEL TDI,9555,Automatic,Grey,5 door SUV,2L,Volkswagen,2.0
Discovery Sport,27950,2L HSE TD4,31330,Automatic,Grey,5 door SUV,2L,Land Rover,4.0
3 Series,27950,2L M Sport 320d,27569,Automatic,White,4 door Saloon,2L,BMW,3.0
XC60,27950,2L Momentum D4,22338,Automatic,Black,5 door SUV,2L,Volvo,3.0
XC40,27950,2L R-Design D3,26219,Automatic,Blue,5 door SUV,2L,Volvo,3.0
GLC Class,27950,2.1L Sport GLC220d,30666,Automatic,Blue,5 door SUV,2.1L,Mercedes-Benz,4.0
Tiguan,27950,1.5L R-Line TSI EVO,10317,Automatic,White,5 door SUV,1.5L,Volkswagen,3.0
2 Series,27900,3L M240i,6785,Automatic,Grey,2 door Coupe,3L,BMW,3.0
S3,27850,2L TFSI,13475,Automatic,Blue,4 door Saloon,2L,Audi,5.0
XC60,27850,2L Momentum D4,23038,Automatic,Grey,5 door SUV,2L,Volvo,3.0
Leaf,27850,e+ Tekna,33852,Automatic,Red,5 door Hatchback,Electric,Nissan,2.0
A3,27850,1.5L S line TFSI,6950,Manual,Black,5 door Hatchback,1.5L,Audi,2.0
F-PACE,27850,2L R-Sport d,32010,Automatic,Red,5 door SUV,2L,Jaguar,5.0
Q5,27850,2L S line TDI,26699,Automatic,White,5 door SUV,2L,Audi,4.0
500 Electric,27850,La Prima,10848,Automatic,Green,2 door Convertible,Electric,Fiat,1.0
i3,27800,S,26350,Automatic,Red,5 door Hatchback,Electric,BMW,3.0
E Class,27800,2L SE E220d,20735,Automatic,Grey,4 door Saloon,1.9L,Mercedes-Benz,4.0
X3,27800,2L M Sport 20d,30234,Automatic,Blue,5 door SUV,2L,BMW,4.0
Golf,27750,2L R TSI,18846,Automatic,Grey,5 door Estate,2L,Volkswagen,3.0
Discovery Sport,27750,2L SE Tech TD4,19331,Automatic,Silver,5 door SUV,2L,Land Rover,3.0
XC60,27700,2L Momentum T5,19297,Automatic,Silver,5 door SUV,2L,Volvo,3.0
1 Series,27700,1.5L M Sport 118i,4603,Automatic,Blue,5 door Hatchback,1.5L,BMW,2.0
A5,27700,2L S line TFSI,19064,Automatic,White,2 door Coupe,2L,Audi,2.0
500 Electric,27700,La Prima,15349,Automatic,Grey,2 door Convertible,Electric,Fiat,1.0
X3,27700,2L M Sport 20d,54780,Automatic,Grey,5 door SUV,2L,BMW,3.0
